cd_cnpj;de_ramo_atividade;cd_ramo_atividade;nu_ordem;cd_divisao
7394265000160;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;4789099;00;47
7394828000110;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;4744005;00;47
7395553000130;ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL, EXCETO CONSULTORIA TECNICA ESPECIFICA;4618401;00;46
7395553000130;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE INSTRUMENTOS E MATERIAIS ODONTOMEDICOHOSPITALARES;4618402;01;46
7395553000130;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MEDICAMENTOS, COSMETICOS E PRODUTOS DE PERFUMARIA;7020400;02;70
7396837000140;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;6821801;00;68
7403907000140;CONSTRUCAO DE EDIFICIOS;4120400;00;41
7403907000140;CONSTRUCAO DE RODOVIAS E FERROVIAS;4211101;01;42
7403907000140;OBRAS DE FUNDACOES;4213800;02;42
7403907000140;OBRAS DE TERRAPLENAGEM;4313400;03;43
7403907000140;OBRAS DE URBANIZACAO  RUAS, PRACAS E CALCADAS;4391600;04;43
7409945000100;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;4721102;00;47
7409945000100;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;4729699;01;47
7409945000100;PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA;5611203;02;56
7413142000120;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;4751200;00;47
7413142000120;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS;9511800;01;95
7415082000770;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;4729699;00;47
7415082000770;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;5611203;01;56
7416849000270;ATIVIDADES VETERINARIAS;4623101;00;46
7416849000270;COMERCIO ATACADISTA DE ANIMAIS VIVOS;7500100;01;75
7421177000100;AGENCIAMENTO DE CARGAS, EXCETO PARA O TRANSPORTE MARITIMO;5250803;00;52
7421177000100;AGENCIAS DE VIAGENS;7911200;01;79
7421177000100;OPERADORES TURISTICOS;7912100;02;79
7423006000110;COMERCIO VAREJISTA DE TECIDOS;4755501;00;47
7425484000160;SERVICOS DE ALINHAMENTO E BALANCEAMENTO DE VEICULOS AUTOMOTORES;4520001;00;45
7425484000160;SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES;4520002;01;45
7425484000160;SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES;4520003;02;45
7425484000160;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;4520004;03;45
7426161000190;ACABAMENTO DE CALCADOS DE COURO SOB CONTRATO;1531902;00;15
7426965000190;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;4712100;00;47
7429818001650;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;00;47
7436233000180;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;4789099;00;47
7436658000270;COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO;4789004;00;47
7438448000130;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;4789001;00;47
7443608000130;OBRAS DE FUNDACOES;4313400;00;43
7443608000130;OBRAS DE TERRAPLENAGEM;4319300;01;43
7443608000130;SERVICOS DE PREPARACAO DO TERRENO NAO ESPECIFICADOS ANTERIORMENTE;4391600;02;43
7443608000130;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, INTERESTADUAL;4922102;03;49
7443608000130;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;4930202;04;49
7444960000190;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;9430800;00;94
7444960000190;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;9493600;01;94
7444960000190;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;9499500;02;94
7447394000170;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;9430800;00;94
7447394000170;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;9493600;01;94
7447394000170;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;9499500;02;94
7450289000190;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO;4619200;00;46
7451069000180;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;5611201;00;56
7451069000180;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA EMPRESAS;5620101;01;56
7451069000180;RESTAURANTES E SIMILARES;5620102;02;56
7451069000180;SERVICOS DE ALIMENTACAO PARA EVENTOS E RECEPCOES  BUFE;5620104;03;56
7451152000150;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, MUNICIPAL;4921301;00;49
7453082000250;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA ESCRITORIOS;1813099;00;18
7453082000250;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;4751200;01;47
7453082000250;IMPRESSAO DE MATERIAL PARA OUTROS USOS;7733100;02;77
7453082000250;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS;9511800;03;95
7453168000100;ADMINISTRACAO DE CAIXAS ESCOLARES;7020400;00;70
7453168000100;ATIVIDADES DE APOIO A EDUCACAO, EXCETO CAIXAS ESCOLARES;8550301;01;85
7453168000100;ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL, EXCETO CONSULTORIA TECNICA ESPECIFICA;8550302;02;85
7454892000140;ALUGUEL DE MOVEIS, UTENSILIOS E APARELHOS DE USO DOMESTICO E PESSOAL, INSTRUMENTOS MUSICAIS;4292801;00;42
7454892000140;ALUGUEL DE PALCOS, COBERTURAS E OUTRAS ESTRUTURAS DE USO TEMPORARIO, EXCETO ANDAIMES;7729202;01;77
7454892000140;MONTAGEM DE ESTRUTURAS METALICAS;7739003;02;77
7455133000100;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;9430800;00;94
7455133000100;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;9493600;01;94
7455133000100;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;9499500;02;94
7455722000180;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;4789001;00;47
7457113000160;CONDOMINIOS PREDIAIS;8112500;00;81
7458772000110;SERVICOS DE ENGENHARIA;7112000;00;71
7459999000180;COMERCIO VAREJISTA DE CALCADOS;4782201;00;47
7466434000120;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;4772500;00;47
7466434000120;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;01;47
7466434000120;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;4789001;02;47
7466434000120;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;9602502;03;96
7467207000110;COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS;4763602;00;47
7472907000100;OUTRAS ATIVIDADES ASSOCIATIVAS PROFISSIONAIS;9412099;00;94
7473450000140;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS;4712100;00;47
7473450000140;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;5611201;01;56
7473450000140;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;5611202;02;56
7473450000140;RESTAURANTES E SIMILARES;5620104;03;56
7473735005060;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;4530703;00;45
7473735005060;COMERCIO VAREJISTA DE COMBUSTIVEIS PARA VEICULOS AUTOMOTORES;4729699;01;47
7473735005060;COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP;4731800;02;47
7473735005060;COMERCIO VAREJISTA DE LUBRIFICANTES;4732600;03;47
7473735005060;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;4784900;04;47
7476611000150;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;9430800;00;94
7476611000150;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;9493600;01;94
7476611000150;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;9499500;02;94
7481292000170;SERVICOS DE ASSISTENCIA SOCIAL SEM ALOJAMENTO;8800600;00;88
7484521000100;CONDOMINIOS PREDIAIS;8112500;00;81
7490676000150;COMERCIO ATACADISTA DE DEFENSIVOS AGRICOLAS, ADUBOS, FERTILIZANTES E CORRETIVOS DO SOLO;4683400;00;46
7490676000150;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;4930202;01;49
7492711000170;CONSTRUCAO DE EDIFICIOS;4120400;00;41
7492711000170;CONSTRUCAO DE INSTALACOES ESPORTIVAS E RECREATIVAS;4299501;01;42
7499735000150;CONSTRUCAO DE RODOVIAS E FERROVIAS;4211101;00;42
7507953000190;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;4530703;00;45
7508788000190;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;4744099;00;47
7509274000150;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;00;47
7515252000100;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;4751200;00;47
7515692000150;OUTROS ALOJAMENTOS NAO ESPECIFICADOS ANTERIORMENTE;5590699;00;55
7516811000270;COMERCIO VAREJISTA DE BEBIDAS;1099604;00;10
7516811000270;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;4723700;01;47
7516811000270;FABRICACAO DE GELO COMUM;4729699;02;47
7521619000190;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;4712100;00;47
7523260000190;SERVICOS DE ALINHAMENTO E BALANCEAMENTO DE VEICULOS AUTOMOTORES;4520001;00;45
7523260000190;SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES;4520002;01;45
7523260000190;SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES;4520003;02;45
7523260000190;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;4520004;03;45
7526084000140;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS METALICOS;4687703;00;46
7526958000160;ADMINISTRACAO DE CAIXAS ESCOLARES;7020400;00;70
7526958000160;ATIVIDADES DE APOIO A EDUCACAO, EXCETO CAIXAS ESCOLARES;8550301;01;85
7526958000160;ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL, EXCETO CONSULTORIA TECNICA ESPECIFICA;8550302;02;85
7527166000100;ALUGUEL DE IMOVEIS PROPRIOS;6463800;00;64
7527166000100;COMPRA E VENDA DE IMOVEIS PROPRIOS;6810201;01;68
7527166000100;OUTRAS SOCIEDADES DE PARTICIPACAO, EXCETO HOLDINGS;6810202;02;68
7533762000100;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;4772500;00;47
7535481000260;COMERCIO VAREJISTA DE MOVEIS;4713002;00;47
7535481000260;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;4753900;01;47
7535481000260;LOJAS DE VARIEDADES, EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES;4754701;02;47
7538452000170;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO;9521500;00;95
7539339000100;SERVICOS DE MONTAGEM DE MOVEIS DE QUALQUER MATERIAL;3329501;00;33
7539692000190;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;4761003;00;47
7542462000180;OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO ESPECIALIZADO EM PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;4618401;00;46
7542462000180;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE INSTRUMENTOS E MATERIAIS ODONTOMEDICOHOSPITALARES;4618402;01;46
7542462000180;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE JORNAIS, REVISTAS E OUTRAS PUBLICACOES;4618403;02;46
7542462000180;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MEDICAMENTOS, COSMETICOS E PRODUTOS DE PERFUMARIA;4618499;03;46
7544230000160;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;4789099;00;47
7545610000110;FUNDICAO DE FERRO E ACO;2451200;00;24
7545610000110;FUNDICAO DE METAIS NAOFERROSOS E SUAS LIGAS;2452100;01;24
7553490000100;COMERCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS;4623109;00;46
7553490000100;COMERCIO VAREJISTA DE ARTIGOS DE CACA, PESCA E CAMPING;4744005;01;47
7553490000100;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;4763604;02;47
7553531000150;CONFECCAO DE ROUPAS INTIMAS;1411801;00;14
7553531000150;CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS;1412602;01;14
7553866000250;OPERADORAS DE CARTOES DE DEBITO;6619305;00;66
7553866000250;OUTRAS ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS NAO ESPECIFICADAS ANTERIORMENTE;6619399;01;66
7555119000170;FABRICACAO DE MAQUINAS E EQUIPAMENTOS PARA SANEAMENTO BASICO E AMBIENTAL, PECAS E ACESSORIOS;2825900;00;28
7555119000170;FABRICACAO DE OUTRAS MAQUINAS E EQUIPAMENTOS DE USO GERAL NAO ESPECIFICADOS ANTERIORMENTE, PECAS E ACESSORIOS;2829199;01;28
7555119000170;INSTALACAO DE MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;3321000;02;33
7560446000110;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;9430800;00;94
7560446000110;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;9493600;01;94
7560446000110;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;9499500;02;94
7563145000140;ATIVIDADES DE CONTABILIDADE;6920601;00;69
7566072000140;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;4755503;00;47
7566072000140;COMERCIO VAREJISTA DE ARTIGOS DE JOALHERIA;4763601;01;47
7566072000140;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4772500;02;47
7566072000140;COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS;4781400;03;47
7566072000140;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;4783101;04;47
7566986000100;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;5611203;00;56
7568550000150;SERRARIAS COM DESDOBRAMENTO DE MADEIRA;1610201;00;16
7571515000190;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;9430800;00;94
7571515000190;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;9493600;01;94
7571515000190;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;9499500;02;94
7580377001340;CULTIVO DE EUCALIPTO;0210101;00;02
7583618000170;ADMINISTRACAO DE CAIXAS ESCOLARES;7020400;00;70
7583618000170;ATIVIDADES DE APOIO A EDUCACAO, EXCETO CAIXAS ESCOLARES;8550301;01;85
7583618000170;ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL, EXCETO CONSULTORIA TECNICA ESPECIFICA;8550302;02;85
7594860000140;COMERCIO ATACADISTA DE RESIDUOS DE PAPEL E PAPELAO;4687701;00;46
7594860000140;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS METALICOS;4687702;01;46
7594860000140;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS NAOMETALICOS, EXCETO DE PAPEL E PAPELAO;4687703;02;46
7594860000140;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;4930202;03;49
7594860000140;TRANSPORTE RODOVIARIO DE PRODUTOS PERIGOSOS;4930203;04;49
7599351000100;ATIVIDADES DE FONOAUDIOLOGIA;8650006;00;86
7603672000130;COMERCIO ATACADISTA DE PRODUTOS DE HIGIENE, LIMPEZA E CONSERVACAO DOMICILIAR;4649408;00;46
7603672000130;COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO;4789004;01;47
7603672000130;COMERCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITARIOS;4789005;02;47
7604524000130;COMERCIO ATACADISTA DE ARTIGOS DE ESCRITORIO E DE PAPELARIA;4618499;00;46
7604524000130;COMERCIO ATACADISTA DE EQUIPAMENTOS DE INFORMATICA;4639701;01;46
7604524000130;COMERCIO ATACADISTA DE OUTRAS MAQUINAS E EQUIPAMENTOS NAO ESPECIFICADOS ANTERIORMENTE, PARTES E PECAS;4647801;02;46
7604524000130;COMERCIO ATACADISTA DE PRODUTOS ALIMENTICIOS EM GERAL;4651601;03;46
7604524000130;OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO ESPECIALIZADO EM PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;4669999;04;46
7604914000100;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4772500;00;47
7604914000100;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;4781400;01;47
7605225000110;ALUGUEL DE IMOVEIS PROPRIOS;6810202;00;68
7606772000110;COMERCIO VAREJISTA DE CARNES  ACOUGUES;4712100;00;47
7606772000110;COMERCIO VAREJISTA DE LATICINIOS E FRIOS;4721102;01;47
7606772000110;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;4721103;02;47
7606772000110;PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA;4722901;03;47
7607510000170;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;4723700;00;47
7607510000170;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4755502;01;47
7607510000170;COMERCIO VAREJISTA DE BEBIDAS;4759899;02;47
7607510000170;COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS;4763601;03;47
7607510000170;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;4781400;04;47
7609118000160;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  HIPERMERCADOS;4711301;00;47
7611472000120;ATIVIDADES DE CONSULTORIA E AUDITORIA CONTABIL E TRIBUTARIA;6920601;00;69
7611472000120;ATIVIDADES DE CONTABILIDADE;6920602;01;69
7620830000160;PEIXARIA;0311601;00;03
7620830000160;PESCA DE PEIXES EM AGUA DOCE;0312401;01;03
7620830000160;PESCA DE PEIXES EM AGUA SALGADA;4722902;02;47
7621349000190;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  SUPERMERCADOS;4711302;00;47
7623461000160;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;4751200;00;47
7626940000130;ACABAMENTO DE CALCADOS DE COURO SOB CONTRATO;1531902;00;15
7626940000130;FABRICACAO DE CALCADOS DE MATERIAL SINTETICO;1533500;01;15
7634596000120;TRANSPORTE ESCOLAR;4921301;00;49
7634596000120;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, MUNICIPAL;4924800;01;49
7634596000120;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL;4929901;02;49
7634596000120;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;4930201;03;49
7634596000120;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;4930202;04;49
7637089000140;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;4744005;00;47
7637089000140;COMERCIO VAREJISTA DE MOVEIS;4754701;01;47
7637089000140;COMERCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITARIOS;4789005;02;47
7643577000160;SERVICOS DE ARQUITETURA;7111100;00;71
7644337000180;ALUGUEL DE APARELHOS DE JOGOS ELETRONICOS;7729201;00;77
7648079000100;COMERCIO VAREJISTA DE OUTROS ARTIGOS USADOS;3839499;00;38
7648079000100;RECUPERACAO DE MATERIAIS NAO ESPECIFICADOS ANTERIORMENTE;4785799;01;47
7649014000180;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;9430800;00;94
7649014000180;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;9493600;01;94
7649014000180;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;9499500;02;94
7649207000130;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;4744099;00;47
7650858000140;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;1091102;00;10
7650858000140;PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA;4721102;01;47
7657597000190;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  SUPERMERCADOS;4711302;00;47
7662104000100;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;00;47
7662104000100;COMERCIO VAREJISTA DE CALCADOS;4782201;01;47
7663583000180;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;1091102;00;10
7663697000120;COMERCIO ATACADISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;4679699;00;46
7663697000120;COMERCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS INTERMEDIARIOS NAO ESPECIFICADOS ANTERIORMENTE;4689399;01;46
7663697000120;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;4744005;02;47
7663697000120;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;4744099;03;47
7666166000190;EDUCACAO INFANTIL  CRECHE;8511200;00;85
7666166000190;EDUCACAO INFANTIL  PREESCOLA;8512100;01;85
7667809000110;ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS;3312103;00;33
7667809000110;ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL, EXCETO CONSULTORIA TECNICA ESPECIFICA;4645101;01;46
7667809000110;COMERCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO, CIRURGICO, HOSPITALAR E DE LABORATORIOS;4646002;02;46
7667809000110;COMERCIO ATACADISTA DE PRODUTOS DE HIGIENE PESSOAL;7020400;03;70
7667809000110;MANUTENCAO E REPARACAO DE APARELHOS ELETROMEDICOS E ELETROTERAPEUTICOS E EQUIPAMENTOS DE IRRADIACAO;8630503;04;86
7669064001010;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;5611201;00;56
7669064001010;RESTAURANTES E SIMILARES;5611203;01;56
7669564000160;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;1412601;00;14
7669564000160;CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA;4781400;01;47
7669629000410;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;4759899;00;47
7669629000410;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO;9521500;01;95
7669934000160;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO;4617600;00;46
7673335000110;CONDOMINIOS PREDIAIS;8112500;00;81
7675116000170;COMERCIO VAREJISTA DE EMBARCACOES E OUTROS VEICULOS RECREATIVOS, PECAS E ACESSORIOS;4763605;00;47
7677914000130;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;4752100;00;47
7677914000130;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO;4753900;01;47
7679132000130;COMERCIO VAREJISTA DE OUTROS ARTIGOS USADOS;3313999;00;33
7679132000130;MANUTENCAO E REPARACAO DE MAQUINAS, APARELHOS E MATERIAIS ELETRICOS NAO ESPECIFICADOS ANTERIORMENTE;4785799;01;47
